"NA."	"NA..1"	"NA..2"	"NA..3"	"NA..4"	"NA..5"	"Max.capacity..154230"	"Max.capacity..296250"	"NA..6"
"1"	"Test Number"	"Target Lat"	"Target Long"	"Trajectory Angle"	"Bearing Angle"	"Distance"	"Fuel Required (lbs)"	"Oxidizer Required (lbs)"	"Mission Success"
"2"	"1"	"31.23"	"121.47"	"87.1436436817"	"205.456573335"	"952.118772776"	"9789.68522168"	"18804.3457623"	"0"
"3"	"2"	"18.96"	"72.82"	"73.4337952029"	"261.95654848"	"5522.06826571"	"56777.905908"	"109060.848248"	"0"
"4"	"3"	"24.86"	"67.01"	"73.0130702792"	"272.2172376"	"5662.30990694"	"58219.8704632"	"111830.620662"	"0"
"5"	"4"	"-34.61"	"-58.37"	"31.7993687942"	"37.9844006597"	"19400.2104019"	"199472.963353"	"383154.155438"	"1"
"6"	"5"	"28.67"	"77.21"	"76.2815361196"	"270.590597907"	"4572.82129347"	"47017.7485394"	"90313.220546"	"0"
"7"	"6"	"41.1"	"29"	"66.7131921537"	"307.12458916"	"7762.26928212"	"79811.6527587"	"153304.818322"	"0"
"8"	"7"	"14.62"	"120.97"	"81.7321652349"	"191.117959824"	"2755.9449217"	"28336.6256849"	"54429.9122036"	"0"
"9"	"8"	"-23.53"	"-46.63"	"35.5602365481"	"335.173315487"	"18146.5878173"	"186583.215938"	"358395.109392"	"1"
"10"	"9"	"55.75"	"37.62"	"70.763323813"	"318.261570843"	"6412.22539568"	"65930.5015184"	"126641.451565"	"0"
"11"	"10"	"23.7"	"90.39"	"78.7971327735"	"253.388670565"	"3734.28907549"	"38395.9602742"	"73752.2092409"	"0"
"12"	"11"	"37.56"	"126.99"	"89.4099781675"	"146.609187103"	"196.673944162"	"2022.20149387"	"3884.31039719"	"0"
"13"	"12"	"6.5"	"3.35"	"53.299650209"	"296.782750563"	"12233.4499303"	"125784.332184"	"241610.636124"	"0"
"14"	"13"	"-4.31"	"15.32"	"53.7953979521"	"279.777167937"	"12068.2006826"	"124085.239419"	"238346.963482"	"0"
"15"	"14"	"35.67"	"139.77"	"86.1236781633"	"102.507955303"	"1292.1072789"	"13285.4470416"	"25519.1187583"	"0"
"16"	"15"	"19.43"	"-99.14"	"53.9680845424"	"44.4278975264"	"12010.6384859"	"123493.384912"	"237210.110096"	"0"
"17"	"16"	"-6.18"	"106.83"	"73.8199847497"	"205.509473785"	"5393.33841678"	"55454.3056014"	"106518.433731"	"0"
"18"	"17"	"40.67"	"-73.94"	"57.2137985535"	"14.975251578"	"10928.7338155"	"112369.241091"	"215842.492856"	"0"
"19"	"18"	"35.67"	"51.43"	"70.8280796005"	"291.915593104"	"6390.64013316"	"65708.5618492"	"126215.14263"	"0"
