name,start,end,track #,album info,#VALUE!,,,,
Gradus prohibitus,00:00:00,00:03:34,1,Volume 1,0:03:34,,,,
Credens justitiam,00:03:35,00:05:30,2,Volume 1,0:01:55,,,,
Clementia,00:05:31,00:07:29,3,Volume 1,0:01:58,,,,
Desiderium,00:07:30,00:09:11,4,Volume 1,0:01:41,,,,
Conturbatio,00:09:21,00:10:39,5,Volume 1,0:01:18,,,,
Puella in somnio,00:10:40,00:12:36,6,Volume 1,0:01:56,,,,
Umbra nigra,00:12:37,00:14:19,7,Volume 1,0:01:42,,,,
Terror adhaerens,00:14:20,00:18:08,8,Volume 1,0:03:48,,,,
Scaena felix,00:18:09,00:19:59,9,Volume 1,0:01:50,,,,
Pugna cum maga,00:20:00,00:22:13,10,Volume 1,0:02:13,,,,
Decretum,00:22:14,00:24:02,11,Volume 2,0:01:48,,,,
Agmen clientum,00:24:03,00:25:47,12,Volume 2,0:01:44,,,,
Venari strigas,00:25:48,00:28:33,13,Volume 2,0:02:45,,,,
Signum malum,00:28:34,00:30:20,14,Volume 2,0:01:46,,,,
Amicae carae meae,00:30:21,00:32:22,15,Volume 2,0:02:01,,,,
Incertus,00:32:23,00:34:02,16,Volume 2,0:01:39,,,,
Inevitabilis,00:34:03,00:35:57,17,Volume 2,0:01:54,,,,
Serena ira,00:35:58,00:37:58,18,Volume 2,0:02:00,,,,
Anima mala,00:37:59,00:39:42,19,Volume 2,0:01:43,,,,
Pugna infinita,00:39:43,00:41:37,20,Volume 2,0:01:54,,,,
Vocalise Op.34 no.14,00:41:38,00:45:14,21,Volume 2,0:03:36,,,,
Ave Maria,00:45:15,00:50:03,22,Volume 2,0:04:48,,,,
Numquam vincar,00:50:04,00:52:11,23,Volume 3,0:02:07,,,,
Quamobrem?,00:52:12,00:53:41,24,Volume 3,0:01:29,,,,
Cor destructum,00:53:42,00:55:08,25,Volume 3,0:01:26,,,,
Surgam identidem,00:55:09,00:58:44,26,Volume 3,0:03:35,,,,
Confessio,00:58:45,01:00:33,27,Volume 3,0:01:48,,,,
Nux Walpurgis,01:00:34,01:03:07,28,Volume 3,0:02:33,,,,
Cubilulum album,01:03:08,01:05:27,29,Volume 3,0:02:19,,,,
Taenia memoriae,01:05:28,01:07:38,30,Volume 3,0:02:10,,,,
La Fille aux Cheveux de Lin,01:07:39,01:10:40,31,Volume 3,0:03:01,,,,
Symposium magarum,01:10:41,01:11:59,32,Volume 3,0:01:18,,,,
