Challenge,Category,Value,Time
FTP,TCP/IP,50,"April 25th, 6:34:28 PM"
Yummy,Trivia,10,"April 25th, 6:36:44 PM"
Archive ,Trivia,10,"April 25th, 6:37:18 PM"
Disallowed,Trivia,10,"April 25th, 6:37:29 PM"
level0,BashGames,50,"April 25th, 6:39:15 PM"
level1,BashGames,50,"April 25th, 6:44:32 PM"
level2,BashGames,50,"April 25th, 6:46:49 PM"
level3,BashGames,50,"April 25th, 6:49:26 PM"
level4,BashGames,50,"April 25th, 6:51:29 PM"
level5,BashGames,50,"April 25th, 6:55:51 PM"
level8,BashGames,50,"April 25th, 7:31:31 PM"
level6,BashGames,50,"April 25th, 7:31:41 PM"
level7,BashGames,50,"April 25th, 7:31:46 PM"
level9,BashGames,150,"April 25th, 7:55:14 PM"
Cookie Monster,Web,10,"April 25th, 7:58:07 PM"
Base Not 64,Crypto,75,"April 25th, 7:58:52 PM"
Telnet,TCP/IP,50,"April 25th, 8:02:04 PM"
mysite,TCP/IP,50,"April 25th, 8:23:44 PM"
mysite2,TCP/IP,50,"April 25th, 8:29:30 PM"
BotNet,TCP/IP,50,"April 25th, 8:46:34 PM"
Time to go waaaay back,Recon,50,"April 25th, 9:15:51 PM"
BashNinja's Network,TCP/IP,100,"April 25th, 9:25:26 PM"
oink_oink,Crypto,50,"April 25th, 9:29:47 PM"
Zesty's Recon,Recon,50,"April 25th, 10:44:55 PM"
The Invisibles,Crypto,50,"April 25th, 11:09:46 PM"
A new Look,Forensics,75,"April 25th, 11:18:30 PM"
This is it,Forensics,100,"April 25th, 11:21:35 PM"
Look into the past,Forensics,200,"April 25th, 11:47:48 PM"
DeveloperSecret,Web,10,"April 25th, 11:50:11 PM"
StopTheBot,Web,25,"April 25th, 11:50:37 PM"
Ajax Not Soap,Web,25,"April 25th, 11:52:58 PM"
Console,Web,50,"April 25th, 11:59:09 PM"
